1,2,Aba - Unor,Aba - Unor,,127.0.0.1,Bincom,2
2,8,Ejeme,Ejeme,,127.0.0.1,Bincom,2
3,9,Isheagu - Ewulu,Isheagu - Ewulu,,127.0.0.1,Bincom,2
4,7,Nsukwa,Nsukwa,,127.0.0.1,Bincom,2
5,2,Ogwashi - Uku I,Ogwashi - Uku I,,127.0.0.1,Bincom,2
6,3,Ogwashi - Uku Ii,Ogwashi - Uku Ii,,127.0.0.1,Bincom,2
7,1,Ogwashi - Uku Village,Ogwashi - Uku Village,,127.0.0.1,Bincom,2
8,4,Ubulu - Uku I,Ubulu - Uku I,,127.0.0.1,Bincom,2
9,5,Ubulu - Uku Ii,Ubulu - Uku Ii,,127.0.0.1,Bincom,2
10,6,Ubulu - Unor,Ubulu - Unor,,127.0.0.1,Bincom,2
11,11,Ubulu Okiti,Ubulu Okiti,,127.0.0.1,Bincom,2
12,10,Ezi,Ezi,,127.0.0.1,Bincom,1
13,8,Idumuje - Unor,Idumuje - Unor,,127.0.0.1,Bincom,1
14,5,Issele - Azagba,Issele - Azagba,,127.0.0.1,Bincom,1
15,6,Issele Uku I,Issele Uku I,,127.0.0.1,Bincom,1
16,7,Issele Uku Ii,Issele Uku Ii,,127.0.0.1,Bincom,1
17,1,Obior,Obior,,127.0.0.1,Bincom,1
18,3,Obomkpa,Obomkpa,,127.0.0.1,Bincom,1
19,4,Onicha - Olona,Onicha - Olona,,127.0.0.1,Bincom,1
20,2,Onicha Ugbo,Onicha Ugbo,,127.0.0.1,Bincom,1
21,9,Ukwu - Nzu,Ukwu - Nzu,,127.0.0.1,Bincom,1
22,0,Akugbene,Akugbene,,127.0.0.1,Bincom,31
23,0,Akugbene Ii,Akugbene,,127.0.0.1,Bincom,31
24,0,Akugbene Iii,Akugbene,,127.0.0.1,Bincom,31
25,0,Bomadi,Akugbene,,127.0.0.1,Bincom,31
26,0,Kolafiogbene / Ekametagbene,Akugbene,,127.0.0.1,Bincom,31
27,0,Kpakiama,Akugbene,,127.0.0.1,Bincom,31
28,0,Ogbeinama / Okoloba,Akugbene,,127.0.0.1,Bincom,31
